mesh,edge_mesh_length,sharp_feature,bbox_diag,norm_min,norm_max,norm_mean,norm_rms
1053375_remesh,2844.363493,sharp,58.309788,0.0,0.018937,0.000514,0.001252
1063861_remesh,1934.240511,sharp,123.435605,0.0,0.114791,0.007077,0.017565
110201_remesh,587.84016,sharp,51.575188,0.0,0.001425,0.000134,0.000274
1129073_remesh,358.452498,sharp,26.054682,0.0,0.007997,0.000742,0.001423
112999_remesh,260.680281,sharp,25.871268,0.0,0.016285,0.001147,0.002918
1130082_remesh,1018.861561,sharp,60.68662,0.0,0.013077,0.000765,0.001831
1207654_remesh,432.230687,sharp,22.363985,0.0,0.005499,0.000383,0.000749
128350_remesh,160.015351,sharp,13.389531,0.0,0.002317,0.000277,0.000552
1288651_remesh,789.05136,sharp,37.605449,0.0,0.019363,0.000683,0.002169
1291011_remesh,3325.737535,sharp,140.2623,0.0,0.008233,0.000183,0.000531
12,68.707411,sharp,2.337191,0.0,0.007723,0.000223,0.000739
1322464_remesh,51.844246,sharp,2.542028,0.0,0.026271,0.001851,0.003616
13,17.47711,sharp,1.956565,0.0,0.001086,9.5e-05,0.000208
14,52.92151,sharp,2.213382,0.0,0.001684,0.000234,0.000442
16,20.103206,sharp,2.00276,0.0,0.008604,0.000931,0.001896
17,128.316527,sharp,3.090741,0.0,0.00352,0.000114,0.000321
18,122.685408,sharp,2.393132,0.0,0.004346,0.000155,0.000435
20_remesh,33530.32156,sharp,257.577107,0.0,0.012364,0.000416,0.000966
23,103.925578,sharp,2.15092,0.0,0.038831,0.002565,0.006356
24,62.827171,sharp,2.703232,0.0,0.00923,0.000527,0.001169
26,51.942793,sharp,2.502167,0.0,0.010474,0.000474,0.001291
27,41.134381,sharp,2.043156,0.0,0.018069,0.000554,0.001736
28,43.814253,sharp,2.660126,0.0,0.001698,0.000145,0.000284
2,46.614825,sharp,2.583428,0.0,0.025621,0.001581,0.003554
30,30.352122,sharp,2.398149,0.0,0.020759,0.002402,0.005121
34,52.770909,smooth,2.397746,0.0,0.190386,0.009276,0.025716
35,19.954274,sharp,2.327302,0.0,0.00242,5.7e-05,0.000223
38,19.692557,sharp,1.869105,0.0,0.001141,3.3e-05,0.000102
39,54.040708,sharp,2.302676,0.0,0.021537,0.00151,0.00279
3_holes,5016.003977,smooth,346.131554,0.0,0.015188,0.001345,0.002337
4,25.934232,sharp,2.462055,0.0,0.013469,0.000733,0.00193
5,83.374377,sharp,2.595234,0.0,0.001459,3.2e-05,8.9e-05
7,89.842223,sharp,2.9208,0.0,0.013205,0.000606,0.001355
9,70.623923,sharp,1.942841,0.0,0.072438,0.002469,0.00816
BendTube_remesh,6549.093471,sharp,673.410034,0.0,0.013696,0.002411,0.003922
BracketInches_remesh,4611.188735,sharp,146.394702,0.0,0.002657,0.00012,0.00033
Chair,1537.353357,smooth,92.489644,0.0,0.023973,0.001698,0.003202
FilledAliyev,3402.715456,smooth,422.387131,0.0,0.024283,0.002339,0.0047
WheelDassault_remesh,11292.213513,sharp,515.214942,0.0,0.016764,0.001371,0.002798
aircraft_moved,21.916775,sharp,1.99206,0.0,0.011275,0.00106,0.001812
aquadom_remesh,644.455648,smooth,85.674975,0.0,0.028287,0.00212,0.003992
bathtub_remesh,21009.534015,sharp,999.493373,0.0,0.015306,0.001453,0.002891
bear,5582.723391,smooth,372.382053,0.0,0.01674,0.001211,0.002346
bearing_plate_remesh,1473.679131,sharp,63.180444,0.0,0.006327,9.3e-05,0.000384
beetle_remesh,11.24985,sharp,1.051136,0.0,0.015433,0.00158,0.002677
blockLP_remesh,986.597246,sharp,47.370351,0.0,0.006499,0.00025,0.000544
boat-artmesh_remesh,16.747028,sharp,1.041777,0.0,0.023756,0.000669,0.002147
bolt_remesh,133.628265,sharp,12.518022,0.0,0.00664,0.000815,0.001481
bone,9.425678,smooth,1.055647,0.0,0.015149,0.001703,0.003196
botanic,2853.127966,smooth,416.376733,0.0,0.015991,0.00132,0.002417
bottle_remesh,12.414506,sharp,1.011011,0.0,0.008452,0.000735,0.001316
cactus,3273.278474,smooth,351.396039,0.0,0.029604,0.003003,0.005136
calla,2561.359517,smooth,411.643457,0.0,0.030291,0.004536,0.007527
chair_remesh,1495.008319,smooth,92.223047,0.0,0.016586,0.001357,0.002419
cover_small_remesh,8446.60746,sharp,216.033341,0.0,0.015754,0.000334,0.000991
coverrear_Lp_remesh,4317.940618,sharp,118.561005,0.0,0.008286,0.000229,0.000672
cube_carved_remesh,45.032117,sharp,3.464102,0.0,0.001884,0.000224,0.000372
cube_minus_sphere_remesh,7.337005,sharp,0.952205,0.0,0.004132,0.000446,0.000831
cup_remesh,95.433656,sharp,6.928203,0.0,0.008692,0.001812,0.002747
cuttedEight,1981.629673,smooth,334.518096,0.0,0.028513,0.004492,0.007426
cylinder_plate_remesh,297.719854,sharp,24.57931,0.0,0.010435,0.000704,0.001611
deckel_remesh,1338.073837,sharp,36.96768,0.0,0.007333,0.000223,0.000561
delta_arm_base_remesh,2415.366885,sharp,106.887794,0.0,0.00266,1.5e-05,7.4e-05
delta_arm_end_effector_remesh_remesh,1728.170254,sharp,58.514435,0.0,0.007951,0.000159,0.000525
des6_remesh,1334.415636,sharp,129.002589,0.0,0.002717,0.000157,0.000338
doghead_remesh,13.813961,sharp,1.283633,0.0,0.020536,0.001418,0.002941
